
id,name,description,imageUrl,price,rating,likes,sex,inStock,createdAt,updatedAt
1,Comfortable Cotton T-Shirt Variant 1,Comfortable Cotton T-Shirt variant 1 from the clothing category.,,1308,3.3,0,Unisex,True,,
2,Comfortable Cotton T-Shirt Variant 2,Comfortable Cotton T-Shirt variant 2 from the clothing category.,,2845,3.0,0,Female,True,,
3,Comfortable Cotton T-Shirt Variant 3,Comfortable Cotton T-Shirt variant 3 from the clothing category.,,412,2.7,0,Unisex,True,,
4,Comfortable Cotton T-Shirt Variant 4,Comfortable Cotton T-Shirt variant 4 from the clothing category.,,240,4.9,0,Unisex,True,,
5,Stylish Jeans Variant 1,Stylish Jeans variant 1 from the clothing category.,,1538,4.1,0,Male,True,,
6,Stylish Jeans Variant 2,Stylish Jeans variant 2 from the clothing category.,,357,4.2,0,Unisex,True,,
7,Stylish Jeans Variant 3,Stylish Jeans variant 3 from the clothing category.,,859,4.5,0,Male,True,,
8,Stylish Jeans Variant 4,Stylish Jeans variant 4 from the clothing category.,,2002,3.8,0,Female,True,,
9,Elegant Dress Variant 1,Elegant Dress variant 1 from the clothing category.,,901,3.9,0,Female,True,,
10,Elegant Dress Variant 2,Elegant Dress variant 2 from the clothing category.,,2342,3.5,0,Female,True,,
11,Elegant Dress Variant 3,Elegant Dress variant 3 from the clothing category.,,2674,4.7,0,Female,True,,
12,Elegant Dress Variant 4,Elegant Dress variant 4 from the clothing category.,,2206,5.0,0,Unisex,True,,
13,Warm Hoodie Variant 1,Warm Hoodie variant 1 from the clothing category.,,2467,3.5,0,Female,True,,
14,Warm Hoodie Variant 2,Warm Hoodie variant 2 from the clothing category.,,193,2.6,0,Female,True,,
15,Warm Hoodie Variant 3,Warm Hoodie variant 3 from the clothing category.,,1274,3.7,0,Unisex,True,,
16,Warm Hoodie Variant 4,Warm Hoodie variant 4 from the clothing category.,,1094,4.1,0,Unisex,True,,
17,Casual Jacket Variant 1,Casual Jacket variant 1 from the clothing category.,,2482,3.7,0,Unisex,True,,
18,Casual Jacket Variant 2,Casual Jacket variant 2 from the clothing category.,,2217,3.6,0,Male,True,,
